	Hairpin	Distance_PRE	PRE	score_kf19	PcG_OR	PcG_pval	trxG_OR	trxG_pval	PcG_complex	PcG_genes	trxG_complex	trxG_genes
dme-miR-1000-5p	dme-mir-1000	471.0	3R:25589429..25590028	0.835	2.318057981138666	0.07910569136845677	1.2863659637853186	0.38399778466653756	PRC1, PRC2, PhoRC, dRAF	"Su(z)2 [-0.229] ,
 Scm [-0.231] ,
 Escl [-0.458] ,
 Pcl [-0.147] ,
 Jarid2 [-0.607] ,
 Phol [-0.208]"	TAC1, COMPASS-SET1, COMPASS-TRX, BAP	"nej [-0.270] ,
 Hcf [-0.086] ,
 Cfp1 [-0.636] ,
 Mnn1 [-0.207] ,
 osa [-0.374]"
dme-miR-1001-3p	dme-mir-1001	5305.0	3R:27636279..27637250	0.89	0.8526039508219367	0.698393280648588			PRC1	Ph-d [-0.057]		
dme-miR-1001-5p	dme-mir-1001	5305.0	3R:27636279..27637250	0.89	2.480031633056544	0.21142994624065492			PRC1, PRC2, PhoRC	"Scm [-0.140] ,
 Pho [-0.034]"		
dme-miR-1002-3p	dme-mir-1002	7797.0	2L:13738751..13739900	0.87	2.2709617180205415	0.17185354213840806	1.6777087646652864	0.28884260807903056	PRC1, PRC2, PR-DUB	"Pc [-0.578] ,
 Su(z)12 [-0.091] ,
 Asx [-0.476]"	TAC1, COMPASS-SET1, COMPASS-TRX	"Sbf [-0.333] ,
 Hcf [-0.006] ,
 Mnn1 [-0.072]"
dme-miR-1002-5p	dme-mir-1002	7797.0	2L:13738751..13739900	0.87	3.6269210933470863	0.01469660991879841	2.0122998694427268	0.1341762673930361	PRC1, PRC2, dRAF, PR-DUB	"Pc [-0.081] ,
 Su(z)2 [-0.064] ,
 Ph-p [-0.292] ,
 Su(z)12 [-0.180] ,
 Jing [-0.017] ,
 Asx [-0.107]"	COMPASS-TRX, ASH1, BAP, PBAP	"Mnn1 [-0.340] ,
 fs(1)h [-0.052] ,
 brm [-0.000] ,
 osa [-0.549] ,
 e(y)3 [-0.211]"
dme-miR-1003-3p	dme-mir-1003	6777.0	3R:24650629..24651828	0.825	1.8687875678053072	0.4268459733083313			PRC1, dRAF	Su(z)2 [-0.054]		
dme-miR-1003-5p	dme-mir-1003	6777.0	3R:24650629..24651828	0.825	3.831889081455806	0.05593758281569944	0.8650086355785838	0.6915411825186737	PRC1, PRC2, dRAF	"Su(z)2 [-0.333] ,
 Jing [-0.040] ,
 Kdm2 [-0.402]"	BAP, PBAP	Bap60 [-0.421]
dme-miR-1004-3p	dme-mir-1004	35830.0	2L:3803451..3804200	0.85	1.8904373610081542	0.4232408169433035			PRC1, dRAF	Su(z)2 [-0.054]		
dme-miR-1004-5p	dme-mir-1004	35830.0	2L:3803451..3804200	0.85	0.8205196535642905	0.7117750731034995	2.8446343999075894	0.06807856016695693	PRC1	Pc [-0.139]	COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, ASH1	"Wds [-0.208] ,
 Hcf [-0.002] ,
 Ash1 [-0.428] ,
 fs(1)h [-0.230]"
dme-miR-1005-3p	dme-mir-1005	2905.0	2L:4346601..4347300	0.82	1.511516887456737	0.49620090451606885			PR-DUB	Calypso [-0.221]		
dme-miR-1006-3p	dme-mir-1006	31158.0	2L:16692901..16693700	0.86	0.7167582591118691	0.7703894521141951	0.8415195132809022	0.6971207188500625	PRC1, dRAF	"Pc [-0.078] ,
 Su(z)2 [-0.323]"	TAC1, COMPASS-TRX, PBAP	"Sbf [-0.027] ,
 Mnn1 [-0.222] ,
 e(y)3 [-0.203]"
dme-miR-1006-5p	dme-mir-1006	31158.0	2L:16692901..16693700	0.86	1.9492863321799307	0.22866227016497184	0.44073394495412843	0.8954846825835304	PRC2, PhoRC	"Pcl [-0.134] ,
 Jing [-0.081] ,
 dSfmbt [-0.002]"	BAP, PBAP	Bap60 [-0.429]
dme-miR-1007-3p	dme-mir-1007	26526.0	X:21268924..21269923	0.805	3.4756431308155444	0.1269271167339361			PRC1, dRAF	"Ph-d [-0.135] ,
 Sce [-0.386]"		
dme-miR-1007-5p	dme-mir-1007	26526.0	X:21268924..21269923	0.805	2.3078626799557034	0.23415107865709145	1.7300664451827243	0.33776343152871213	PRC1, dRAF, PR-DUB	"Su(z)2 [-0.070] ,
 Asx [-0.150]"	COMPASS-TRR, BAP, PBAP	"Trr [-0.045] ,
 Bap111 [-0.034]"
dme-miR-1008-3p	dme-mir-1008	23213.0	2R:10908746..10909495	0.85			1.3536170212765957	0.531598419100642			PBAP	e(y)3 [-0.000]
dme-miR-1008-5p	dme-mir-1008	23213.0	2R:10908746..10909495	0.85	4.019176381320273	0.002200842903366979	2.951251646903821	0.00534935553946569	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Pc [-1.695] ,
 Psc [-0.254] ,
 Su(z)2 [-1.865] ,
 Sce [-1.214] ,
 Scm [-1.451] ,
 Su(z)12 [-0.287] ,
 Escl [-1.654] ,
 Jarid2 [-1.177] ,
 Jing [-0.187] ,
 Pho [-0.012] ,
 dSfmbt [-0.003] ,
 Kdm2 [-1.446] ,
 Asx [-0.264]"	TAC1, COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, ASH1, BAP, PBAP, KIS	"nej [-1.264] ,
 Wds [-0.147] ,
 Hcf [-0.054] ,
 Mnn1 [-3.868] ,
 Trr [-0.231] ,
 Ash1 [-0.907] ,
 fs(1)h [-0.439] ,
 brm [-0.001] ,
 mor [-0.269] ,
 osa [-0.381] ,
 Act5C [0.000] ,
 Bap111 [-0.060] ,
 e(y)3 [-0.363] ,
 BAP170 [-0.627] ,
 Kis [-0.259]"
dme-miR-1009-3p	dme-mir-1009	67114.0	2R:24060228..24060577	0.905			2.4241098070419733	0.10434198701625823			TAC1, COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, PBAP, KIS	"Sbf [-0.245] ,
 Ash2 [-0.035] ,
 Polybromo [-0.818] ,
 Kis [-0.115]"
dme-miR-1010-3p	dme-mir-1010	33201.0	3R:22258729..22259678	0.875	1.8423944476576055	0.4313223183996649			PRC2	Jarid2 [-0.131]		
dme-miR-1010-5p	dme-mir-1010	33201.0	3R:22258729..22259678	0.875	0.9799873936337851	0.6490192201548894	0.7444311377245509	0.7437113260754644	PRC1, PRC2, PhoRC	Scm [-0.076]	COMPASS-SET1, COMPASS-TRX, COMPASS-TRR	Ash2 [-0.681]
dme-miR-1011-3p	dme-mir-1011	22530.0	3R:20830429..20830828	0.93	1.612256039306674	0.31583856647837305	0.36463320463320464	0.9331684824138998	PRC1, PRC2, PhoRC, dRAF	"Su(z)2 [-0.063] ,
 Scm [-0.212] ,
 Escl [-0.832]"	BAP	osa [-0.016]
dme-miR-1012-3p	dme-mir-1012	28022.0	3R:26889429..26890178	0.825	1.2295049892388965	0.5679567993373611			PhoRC	Pho [-0.004]		
dme-miR-1012-5p	dme-mir-1012	28022.0	3R:26889429..26890178	0.825								
dme-miR-1013-3p	dme-mir-1013	5833.0	3R:30797529..30798528	0.82	1.9220443985544657	0.1630405430918137	2.5660117200965185	0.0296532186984731	PhoRC, dRAF, PR-DUB	"Pho [-0.859] ,
 dSfmbt [-0.280] ,
 Kdm2 [-0.643] ,
 Asx [-0.044] ,
 Calypso [-0.263]"	TAC1, COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, BAP, PBAP	"trx [-0.286] ,
 nej [-0.493] ,
 Ash2 [-0.973] ,
 Hcf [-0.020] ,
 Mnn1 [-0.284] ,
 brm [-0.607] ,
 mor [-0.000] ,
 Bap60 [-0.002]"
dme-miR-1014-3p	dme-mir-1014	39363.0	3R:31712679..31714228	0.82	3.7505898213683855	0.006206951565112431	1.019906430602697	0.5689874867328807	PRC1, PRC2, PhoRC, dRAF	"Pc [-0.053] ,
 Su(z)2 [-0.370] ,
 Ph-p [-0.086] ,
 Ph-d [-0.129] ,
 Pcl [-0.342] ,
 Jarid2 [-0.133] ,
 Jing [-0.041] ,
 Pho [-0.411]"	TAC1, COMPASS-SET1, COMPASS-TRX, ASH1	"Sbf [-0.320] ,
 Hcf [-0.018] ,
 Mnn1 [-0.511] ,
 Ash1 [-0.432]"
dme-miR-1014-5p	dme-mir-1014	39363.0	3R:31712679..31714228	0.82	1.1584810617068682	0.5329657036352793	1.8983723699880906	0.18859907973461348	PRC1, PRC2, PhoRC	"Scm [-0.750] ,
 Pcl [-0.709]"	COMPASS-TRR, BAP, PBAP	"Trr [-0.371] ,
 Bap55 [-0.083] ,
 Snr1 [-0.973] ,
 e(y)3 [-0.230]"
dme-miR-1016-3p	dme-mir-1016	13392.0	2R:14218996..14219795	0.84								
dme-miR-1016-5p	dme-mir-1016	13392.0	2R:14218996..14219795	0.84	3.4318114874815904	0.018440051602875276	1.9041077969649398	0.15601034629043026	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Su(z)2 [-0.188] ,
 Sce [-0.005] ,
 Scm [-0.069] ,
 Su(z)12 [-0.428] ,
 Jing [-0.081] ,
 Asx [-0.094]"	COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, BAP, PBAP	"Ash2 [-0.703] ,
 Mnn1 [-0.127] ,
 brm [-0.000] ,
 osa [-0.075] ,
 BAP170 [-0.005]"
dme-miR-11-3p	dme-mir-11	3508.0	3R:21626079..21626828	0.8			2.0886504799548278	0.1951169640263391			TAC1, COMPASS-SET1, COMPASS-TRX	"nej [-0.185] ,
 Hcf [-0.001] ,
 Mnn1 [-0.589]"
dme-miR-11-5p	dme-mir-11	3508.0	3R:21626079..21626828	0.8	0.9080779944289693	0.6761656099648236	0.6898050139275766	0.7691818523499492	PRC2	Jing [-0.208]	PBAP	BAP170 [-0.003]
dme-miR-12-3p	dme-mir-12	5045.0	X:15514518..15514590	0.855								
dme-miR-12-5p	dme-mir-12	5045.0	X:15514518..15514590	0.855	1.8837138508371385	0.30773888094937896	1.4121004566210045	0.42979720590777254	PRC1, PRC2, dRAF	"Sce [-0.031] ,
 Escl [-0.507]"	TAC1, COMPASS-TRX	"trx [-0.243] ,
 nej [-0.088]"
dme-miR-124-3p	dme-mir-124	4220.0	2L:17570590..17570850	0.83			0.9505482041587902	0.657899667958254			COMPASS-TRR	Trr [-0.144]
dme-miR-124-5p	dme-mir-124	4220.0	2L:17570590..17570850	0.83			1.2634825870646766	0.5558350799982703			ASH1	fs(1)h [-0.109]
dme-miR-125-3p	dme-mir-125	3615.0	2L:18468151..18468700	0.805	0.6164173770993925	0.8058156168854493	1.5301052097857777	0.33562385464550376	PRC1	Pc [-0.347]	COMPASS-SET1, COMPASS-TRX, BAP, PBAP	"Hcf [-0.364] ,
 brm [-0.000] ,
 Bap111 [-0.395]"
dme-miR-125-5p	dme-mir-125	3615.0	2L:18468151..18468700	0.805								
dme-miR-133-3p	dme-mir-133	8717.0	2L:20607780..20607900	0.83	2.870205173951829	0.3055823258239552			PRC2	Su(z)12 [-0.081]		
dme-miR-133-5p	dme-mir-133	8717.0	2L:20607780..20607900	0.83	3.1041301627033793	0.09002079658997676	3.2014462809917354	0.04878593098852643	PRC2, dRAF, PR-DUB	"Jing [-0.101] ,
 Kdm2 [-0.003] ,
 Asx [-0.475]"	TAC1, COMPASS-TRX, ASH1, KIS	"nej [-0.308] ,
 Mnn1 [-0.169] ,
 fs(1)h [-0.171] ,
 Kis [-0.501]"
dme-miR-137-3p	dme-mir-137	1586.0	2R:16066930..16067395	0.805	3.269162042697263	0.022413867326655686	0.9922299034451237	0.5957224452085537	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Pc [-0.577] ,
 Su(z)2 [-0.435] ,
 Su(z)12 [-0.463] ,
 Jing [-0.133] ,
 Pho [-0.001] ,
 Asx [-0.180]"	TAC1, ASH1, BAP, PBAP	"nej [-0.133] ,
 fs(1)h [-0.205] ,
 mor [-0.530]"
dme-miR-137-5p	dme-mir-137	1586.0	2R:16066930..16067395	0.805			0.8078964401294498	0.7155495708927002			ASH1	fs(1)h [-0.031]
dme-miR-13a-3p	dme-mir-13a	0.0	3R:15417179..15418728	0.85			1.374165554072096	0.44297278548888963			TAC1, COMPASS-TRX	"nej [-0.185] ,
 Mnn1 [-0.589]"
dme-miR-13a-5p	dme-mir-13a	0.0	3R:15417179..15418728	0.85	3.0893772893772895	0.1525024848029563			PRC1, dRAF, PR-DUB	"Su(z)2 [-0.112] ,
 Asx [-0.043]"		
dme-miR-13b-1-5p	dme-mir-13b-1	0.0	3R:15417179..15418728	0.85	0.7163644898198674	0.7578979517673692	1.7787223706582462	0.2613606886420608	PRC1, PRC2, PhoRC	Scm [-0.253]	TAC1, COMPASS-SET1, COMPASS-TRX, PBAP	"nej [-0.227] ,
 Hcf [-0.013] ,
 e(y)3 [-0.083]"
dme-miR-13b-2-5p	dme-mir-13b-2	24538.0	X:9115768..9116667	0.835								
dme-miR-13b-3p	dme-mir-13b-2	24538.0	X:9115768..9116667	0.835			1.374165554072096	0.44297278548888963			TAC1, COMPASS-TRX	"nej [-0.185] ,
 Mnn1 [-0.589]"
dme-miR-13b-3p	dme-mir-13b-2	24538.0	X:9115768..9116667	0.835			1.374165554072096	0.44297278548888963			TAC1, COMPASS-TRX	"nej [-0.185] ,
 Mnn1 [-0.589]"
dme-miR-14-3p	dme-mir-14	1317.0	2R:9551296..9552445	0.805								
dme-miR-14-5p	dme-mir-14	1317.0	2R:9551296..9552445	0.805	4.694902823615695	0.0777041759467236			PRC1, PRC2, dRAF	"Su(z)2 [-0.265] ,
 Su(z)12 [-0.313]"		
dme-miR-184-3p	dme-mir-184	5806.0	2R:13322346..13323695	0.865	3.77953216374269	0.24263521037883373			PhoRC	Pho [-0.000]		
dme-miR-184-5p	dme-mir-184	5806.0	2R:13322346..13323695	0.865	1.7091666666666667	0.3478145282203708	2.008107961038254	0.2100752480229902	PRC1, PRC2, dRAF	"Psc [-0.239] ,
 Jarid2 [-0.245]"	TAC1, COMPASS-TRX, ASH1, BAP, PBAP	"trx [-0.146] ,
 fs(1)h [-0.034] ,
 Act5C [-0.004]"
dme-miR-190-3p	dme-mir-190	11149.0	3L:8559751..8560650	0.9								
dme-miR-190-5p	dme-mir-190	11149.0	3L:8559751..8560650	0.9			0.6343886743886744	0.7961121610471921			TAC1	Sbf [-0.119]
dme-miR-193-3p	dme-mir-193	70337.0	3L:21644351..21645350	0.8	8.113219481340924	0.008531851866037981	3.8154761904761907	0.1067533961453625	PRC2, PR-DUB	"Su(z)12 [-0.202] ,
 Pcl [-0.064] ,
 Asx [-0.024]"	COMPASS-SET1, BAP, PBAP	"Cfp1 [-0.009] ,
 Act5C [0.000]"
dme-miR-193-5p	dme-mir-193	70337.0	3L:21644351..21645350	0.8	1.6433734939759037	0.36482704259938525	3.5334254620832612	0.021845048726148883	PhoRC, dRAF	"Pho [-1.033] ,
 Kdm2 [-0.202]"	TAC1, COMPASS-SET1, COMPASS-TRX, BAP, PBAP	"trx [-0.284] ,
 Hcf [-0.004] ,
 Snr1 [-0.533] ,
 Bap111 [-0.649] ,
 e(y)3 [-0.191]"
dme-miR-210-3p.1	dme-mir-210	1952.0	X:18125718..18126267	0.835			1.7308894572321682	0.27395382093606746			TAC1, BAP, PBAP	"nej [-0.161] ,
 mor [-0.344] ,
 Bap60 [-0.394]"
dme-miR-210-3p.2	dme-mir-210	1952.0	X:18125718..18126267	0.835	6.492708333333334	0.002361240090045518	1.6144375324002074	0.3677688360187484	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Su(z)2 [-0.110] ,
 Scm [-0.300] ,
 Jing [-0.120] ,
 dSfmbt [-0.001] ,
 Asx [-0.049]"	TAC1, BAP, PBAP	"nej [-0.110] ,
 Act5C [-0.415]"
dme-miR-210-5p	dme-mir-210	1952.0	X:18125718..18126267	0.835	0.9533788174139052	0.6328524713363582	3.8303148963941918	0.0038588699922582057	PRC2, PR-DUB	"Su(z)12 [-0.758] ,
 Asx [-3.526]"	TAC1, COMPASS-TRX, ASH1, BAP, PBAP, KIS	"trx [-0.921] ,
 nej [-1.609] ,
 Mnn1 [-1.025] ,
 fs(1)h [-3.397] ,
 osa [-1.166] ,
 Act5C [-0.439] ,
 e(y)3 [-0.932] ,
 Kis [-1.474]"
dme-miR-219-3p	dme-mir-219	13856.0	3L:17300151..17301150	0.835	4.349602854840566	0.041467430701522784	2.048828125	0.27098970894492547	PRC2	"Pcl [-0.388] ,
 Jarid2 [-0.045] ,
 Jing [-0.226]"	COMPASS-TRR, ASH1	"Trr [-0.190] ,
 fs(1)h [-0.154]"
dme-miR-219-5p	dme-mir-219	13856.0	3L:17300151..17301150	0.835			0.602156862745098	0.8122262072557764			TAC1	nej [-0.259]
dme-miR-2279-3p	dme-mir-2279	1663114.0	2R:4215396..4216495	0.9			1.4657471264367816	0.5040764163282969			ASH1	Ash1 [-0.170]
dme-miR-2279-5p	dme-mir-2279	1663114.0	2R:4215396..4216495	0.9	4.989623243933589	0.0005311471339337836	3.4215620507906084	0.0017721338300142118	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Pc [-1.695] ,
 Psc [-0.254] ,
 Su(z)2 [-1.865] ,
 Ph-d [-0.135] ,
 Sce [-1.214] ,
 Scm [-1.451] ,
 Su(z)12 [-0.287] ,
 Escl [-1.654] ,
 Jarid2 [-1.177] ,
 Jing [-0.187] ,
 Pho [-0.012] ,
 dSfmbt [-0.003] ,
 Kdm2 [-1.446] ,
 Asx [-0.264]"	TAC1, COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, ASH1, BAP, PBAP, KIS	"trx [-0.402] ,
 nej [-1.264] ,
 Wds [-0.147] ,
 Hcf [-0.054] ,
 Mnn1 [-3.868] ,
 Trr [-0.231] ,
 Ash1 [-0.907] ,
 fs(1)h [-0.439] ,
 brm [-0.001] ,
 mor [-0.269] ,
 osa [-0.381] ,
 Act5C [0.000] ,
 Bap111 [-0.060] ,
 e(y)3 [-0.363] ,
 BAP170 [-0.627] ,
 Kis [-0.259]"
dme-miR-2280-3p	dme-mir-2280	47002.0	2L:1878801..1879300	0.8	2.5060065042808786	0.04962485657240277	2.0683834460269503	0.07473875319057233	PRC1, PRC2, dRAF, PR-DUB	"Pc [-0.334] ,
 Psc [-0.340] ,
 Ph-p [-0.433] ,
 Esc [-0.709] ,
 Pcl [-0.089] ,
 Jing [-0.453] ,
 Asx [-0.056]"	TAC1, COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, ASH1, BAP, PBAP, KIS	"nej [-0.945] ,
 Rbbp5 [-0.227] ,
 Trr [-0.128] ,
 fs(1)h [-0.064] ,
 brm [-0.005] ,
 mor [-0.589] ,
 osa [-0.905] ,
 Kis [-0.206]"
dme-miR-2280-5p	dme-mir-2280	47002.0	2L:1878801..1879300	0.8	2.272231314784506	0.23929460242976314	2.670705630791162	0.1192167278197674	PRC1, PRC2	"Pc [-0.250] ,
 Jarid2 [-0.082]"	TAC1, COMPASS-TRX, COMPASS-TRR	"trx [-0.287] ,
 Mnn1 [-0.260] ,
 Trr [-0.063]"
dme-miR-2281-3p	dme-mir-2281	2978.0	3R:14399479..14400028	0.81	1.6245530393325387	0.3699058296643808	2.6638427283588575	0.08140601225337032	PRC1, PRC2	"Pc [-0.142] ,
 Jarid2 [-0.349]"	TAC1, COMPASS-TRX, PBAP	"trx [-0.063] ,
 nej [-0.212] ,
 e(y)3 [-0.095] ,
 BAP170 [-0.007]"
dme-miR-2281-5p	dme-mir-2281	2978.0	3R:14399479..14400028	0.81	1.019496204278813	0.5985400933612555	2.1891791736149715	0.1055224850885318	PRC1, PRC2	"Pc [-0.751] ,
 Jarid2 [-1.573]"	TAC1, COMPASS-SET1, COMPASS-TRX, BAP, PBAP	"trx [-0.608] ,
 nej [-0.078] ,
 Hcf [-0.007] ,
 Act5C [-0.178] ,
 BAP170 [-0.004]"
dme-miR-2282-3p	dme-mir-2282	12800.0	3L:3425051..3425600	0.835	1.772208298524088	0.4436800710467376			PhoRC	dSfmbt [-0.252]		
dme-miR-2283-3p	dme-mir-2283	7146.0	3R:9509229..9510378	0.845			4.889003554638229	0.0016929372825191216			COMPASS-SET1, COMPASS-TRX, BAP, PBAP, KIS	"dSET1 [-0.300] ,
 Mnn1 [-0.208] ,
 brm [-0.349] ,
 mor [-0.681] ,
 Act5C [-0.266] ,
 BAP170 [-0.001] ,
 Kis [-0.340]"
dme-miR-2283-5p	dme-mir-2283	7146.0	3R:9509229..9510378	0.845	6.693786982248521	6.535679407387271e-05	6.060922295868002	1.2364561520364222e-05	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Pc [-1.977] ,
 Su(z)2 [-2.011] ,
 Ph-p [-0.193] ,
 Sce [-0.041] ,
 Scm [-0.689] ,
 E(z) [-0.582] ,
 Su(z)12 [-0.319] ,
 Escl [-2.533] ,
 Jing [-0.206] ,
 Pho [-0.009] ,
 Phol [-0.176] ,
 dSfmbt [-1.220] ,
 Kdm2 [-0.541] ,
 Asx [-0.227] ,
 Calypso [-0.021]"	TAC1, COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, ASH1, BAP, PBAP, KIS	"trx [-0.230] ,
 nej [-0.266] ,
 Sbf [-0.694] ,
 dSET1 [-0.384] ,
 Rbbp5 [-0.314] ,
 Wds [-0.394] ,
 Hcf [-0.496] ,
 Cfp1 [-0.059] ,
 Mnn1 [-0.998] ,
 Trr [-0.136] ,
 Ash1 [-0.285] ,
 fs(1)h [-0.606] ,
 brm [-0.000] ,
 mor [-0.383] ,
 osa [-0.090] ,
 Bap111 [-1.056] ,
 e(y)3 [-0.001] ,
 BAP170 [-0.001] ,
 Kis [-0.197]"
dme-miR-2489-3p	dme-mir-2489	29824.0	2L:13579651..13580150	0.85	1.7519490851233095	0.20572946245490004	0.43700349539243727	0.9361953033994858	PRC1, PRC2, PhoRC, PR-DUB	"Pc [-1.297] ,
 Escl [-0.938] ,
 Jarid2 [-0.251] ,
 dSfmbt [-0.201] ,
 Asx [-0.393]"	COMPASS-SET1, COMPASS-TRX, PBAP	"Hcf [-0.097] ,
 BAP170 [-0.004]"
dme-miR-2489-5p	dme-mir-2489	29824.0	2L:13579651..13580150	0.85	1.0623153370937417	0.5773951122706844	2.2813293330256172	0.09340423299266876	PRC2, PhoRC	"Escl [-0.557] ,
 dSfmbt [-0.005]"	COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, BAP, PBAP	"dSET1 [-0.199] ,
 Wds [-0.084] ,
 Mnn1 [-0.270] ,
 mor [-0.000] ,
 Bap111 [-0.940]"
dme-miR-2490-3p	dme-mir-2490	324235.0	2L:22844419..22844590	0.845	1.9341448189762795	0.2973795947085786	0.6949228611500702	0.7667486627383591	PhoRC, dRAF	"Phol [-0.264] ,
 Kdm2 [-0.519]"	ASH1	fs(1)h [-0.049]
dme-miR-2490-5p	dme-mir-2490	324235.0	2L:22844419..22844590	0.845								
dme-miR-2491-3p	dme-mir-2491	246269.0	X:22586540..22587314	0.805	0.4948203842940685	0.8675542467717252			PRC1	Pc [-0.233]		
dme-miR-2491-5p	dme-mir-2491	246269.0	X:22586540..22587314	0.805	4.2994227994228	0.00710258556470841	1.8197097020626432	0.20724638248713959	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Pc [-0.081] ,
 Su(z)2 [-1.805] ,
 Su(z)12 [-1.073] ,
 Jing [-0.222] ,
 Pho [-0.181] ,
 Asx [-0.583]"	TAC1, COMPASS-TRX, PBAP, KIS	"trx [-1.370] ,
 nej [-1.802] ,
 e(y)3 [-0.170] ,
 Kis [-1.632]"
dme-miR-2492-3p	dme-mir-2492	1755.0	X:11544818..11545667	0.865	1.5574924036462499	0.2367647200191244	2.1232431360888095	0.04809939865700907	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Pc [-0.731] ,
 Su(z)2 [-1.821] ,
 Pcl [-0.136] ,
 Jing [-0.216] ,
 Pho [-0.000] ,
 Phol [-1.962] ,
 Asx [-0.277]"	TAC1, COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, ASH1, BAP, PBAP, KIS	"trx [-0.204] ,
 nej [-0.885] ,
 dSET1 [-0.354] ,
 Wds [-0.267] ,
 Mnn1 [-0.692] ,
 fs(1)h [-2.206] ,
 osa [-0.382] ,
 Act5C [-0.384] ,
 e(y)3 [-0.000] ,
 BAP170 [-0.009] ,
 Kis [-0.918]"
dme-miR-2492-5p	dme-mir-2492	1755.0	X:11544818..11545667	0.865	0.9692787524366472	0.652945766872528	1.5363501483679525	0.3901606698559571	PhoRC	Pho [-0.422]	BAP, PBAP	"Snr1 [-0.533] ,
 e(y)3 [-0.191]"
